"","mos_ethnicity","complainant_ethnicity"
"1220","White","Hispanic"
"1221","White","Hispanic"
"1222","White","Other Race"
"1223","White","Other Race"
"1224","White","Other Race"
"1225","White","Hispanic"
"1226","White","Hispanic"
"1227","White","Hispanic"
"1228","White","Hispanic"
"1229","White","Hispanic"
"1230","White","Hispanic"
"1231","White","Hispanic"
"1232","Hispanic","White"
"1233","Hispanic","Black"
"1234","Hispanic","Black"
"1235","Hispanic","White"
"1236","Hispanic","Black"
"1237","Hispanic","Black"
"1238","Hispanic","Black"
"1239","Hispanic","Black"
"1240","Hispanic","Black"
"1241","Hispanic","Black"
"1242","Hispanic","Black"
"1243","Hispanic","Hispanic"
"1244","Hispanic","Hispanic"
"1245","Hispanic","Hispanic"
"1246","Hispanic","Black"
"1247","Hispanic","Black"
"1248","Hispanic","Black"
"1249","Hispanic","Black"
"1250","Hispanic","Black"
"1251","Hispanic","Black"
"1252","Black",NA
"1253","Black",NA
"1254","Black","White"
"1255","White","Black"
"1256","White","Black"
"1257","White","Black"
"1258","White","Black"
"1259","White","Black"
"1260","White","Black"
"1261","White","Black"
"1262","White","Black"
"1263","White","Hispanic"
"1264","White","Hispanic"
"1265","White","Black"
"1266","White","Black"
"1267","White","Black"
"1268","White",NA
"1269","White","White"
"1270","White","Black"
"1271","White",NA
"1272","White","Hispanic"
"1273","White","Hispanic"
"1274","White","Hispanic"
"1275","White","Hispanic"
